label,name,degree
ASN,AS13335,2048
ASN,AS47583,789
ASN,AS31898,311
ASN,AS22612,297
ASN,AS16509,214
ASN,AS20473,209
ASN,AS8560,198
ASN,AS14061,183
ASN,AS6939,180
ASN,AS209242,139
ASN,AS16276,113
ASN,AS398101,110
ASN,AS24940,109
ASN,AS46606,77
ASN,AS60781,76
ASN,AS28753,74
ASN,AS30058,61
ASN,AS19871,61
ASN,AS399629,58
ASN,AS51167,54
ASN,AS45102,48
ASN,AS37963,48
ASN,AS15169,47
ASN,AS31034,46
ASN,AS396982,45
ASN,AS14618,45
ASN,AS63949,42
ASN,AS202412,40
ASN,AS45090,40
ASN,AS54113,39
ASN,AS26496,37
ASN,AS51468,35
ASN,AS9123,33
ASN,AS30148,33
ASN,AS45638,33
ASN,AS997,32
ASN,AS26347,32
ASN,AS132203,31
ASN,AS40244,31
ASN,AS9009,29
ASN,AS8075,29
ASN,AS24961,27
ASN,AS36352,25
ASN,AS6724,25
ASN,AS50474,25
ASN,AS29222,25
ASN,AS27715,25
ASN,AS36454,22
ASN,AS210644,22
ASN,AS21499,22
ASN,AS210006,22
ASN,AS51852,21
ASN,AS152194,21
ASN,AS210558,21
ASN,AS34762,20
ASN,AS45753,18
ASN,AS136557,18
ASN,AS138995,17
ASN,AS37153,17
ASN,AS30600,17
ASN,AS29802,17
ASN,AS207043,16
ASN,AS394695,16
ASN,AS19318,16
ASN,AS29873,16
ASN,AS42612,15
ASN,AS39570,15
ASN,AS58212,14
ASN,AS54641,14
ASN,AS14956,13
ASN,AS398019,13
ASN,AS34282,13
ASN,AS14670,13
ASN,AS62005,12
ASN,AS210403,12
ASN,AS40021,11
ASN,AS202226,11
ASN,AS133618,11
ASN,AS206281,11
ASN,AS63410,11
ASN,AS53667,10
ASN,AS38719,10
ASN,AS33182,10
ASN,AS9370,10
ASN,AS22611,10
ASN,AS400754,10
ASN,AS53589,10
ASN,AS141995,9
ASN,AS47846,9
ASN,AS53831,9
ASN,AS200019,9
ASN,AS199959,9
ASN,AS198610,9
ASN,AS32244,9
ASN,AS216071,9
ASN,AS141679,9
ASN,AS55293,8
ASN,AS3786,8
ASN,AS204800,8
ASN,AS63473,8
ASN,AS46475,8
ASN,AS399883,8
ASN,AS51275,8
ASN,AS53850,8
ASN,AS33387,8
ASN,AS62904,8
ASN,AS200593,8
ASN,AS205759,8
ASN,AS200325,7
ASN,AS199404,7
ASN,AS206834,7
ASN,AS58182,7
ASN,AS21859,7
ASN,AS34931,7
ASN,AS14555,7
ASN,AS3223,7
ASN,AS401701,7
ASN,AS215439,7
ASN,AS4713,7
ASN,AS28299,7
ASN,AS397423,7
ASN,AS154177,7
ASN,AS63139,7
ASN,AS56485,7
ASN,AS399486,6
ASN,AS32475,6
ASN,AS53107,6
ASN,AS19437,6
ASN,AS63023,6
ASN,AS23470,6
ASN,AS141004,6
ASN,AS32613,6
ASN,AS63760,6
ASN,AS135917,6
ASN,AS205275,6
ASN,AS12637,6
ASN,AS212238,6
ASN,AS203273,6
ASN,AS213230,6
ASN,AS401696,6
ASN,AS214351,6
ASN,AS52148,5
ASN,AS205775,5
ASN,AS59939,5
ASN,AS150055,5
ASN,AS50926,5
ASN,AS27823,5
ASN,AS40034,5
ASN,AS9318,5
ASN,AS197695,5
ASN,AS42831,5
ASN,AS141584,5
ASN,AS51713,5
ASN,AS214673,5
ASN,AS396073,5
ASN,AS215391,5
ASN,AS50613,5
ASN,AS402253,5
ASN,AS399077,5
ASN,AS197170,5
ASN,AS135377,5
ASN,AS56971,5
ASN,AS136052,4
ASN,AS135357,4
ASN,AS34119,4
ASN,AS62468,4
ASN,AS3816,4
ASN,AS197540,4
ASN,AS52284,4
ASN,AS202468,4
ASN,AS23352,4
ASN,AS62240,4
ASN,AS132839,4
ASN,AS19551,4
ASN,AS47447,4
ASN,AS41745,4
ASN,AS48254,4
ASN,AS135905,4
