cluster_index,size
0,6
1,1054
2,1849
3,12
4,103
5,40
6,3
7,4
8,6
9,3
10,48
11,4
12,4
13,28
14,3
15,4
16,3
17,3
18,3
19,3
20,3
21,4
22,4
23,6
24,6
25,3
26,70
27,3
28,7
29,5
30,13
31,5
32,3
33,3
34,3
35,4
36,29
37,3
38,3
39,10
40,3
41,6
42,4
43,7
44,3
45,5
46,3
47,16
48,17
49,7
50,35
51,4
52,3
53,3
54,3
55,3
56,29
57,3
58,5
59,3
60,3
61,7
62,3
63,6
64,9
65,3
66,3
67,7
68,3
69,6
70,6
71,3
72,12
73,6
74,3
75,3
76,3
77,4
78,3
79,3
80,6
81,3
82,6
83,5
84,6
85,3
86,3
87,6
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,6
100,3
101,3
102,4
103,3
104,6
105,3
106,3
107,6
108,3
109,3
110,3
111,3
112,6
113,3
114,3
115,3
116,3
117,6
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,8
127,3
128,7
129,4
130,3
131,3
132,3
133,5
134,6
135,3
136,3
137,3
138,6
139,3
140,3
141,5
142,3
143,3
144,6
145,6
146,3
147,3
148,6
149,6
150,3
151,6
152,5
153,3
154,3
155,8
156,3
157,4
158,3
159,3
160,3
161,3
162,3
163,3
164,6
165,3
166,3
167,3
168,6
169,3
170,3
171,3
172,3
173,6
174,6
175,14
176,6
177,3
178,5
179,3
180,6
181,3
182,3
183,6
184,3
185,6
186,3
187,5
188,3
189,3
190,4
191,3
192,3
193,3
194,5
195,3
196,4
197,3
198,3
199,3
200,3
201,3
202,4
203,3
204,6
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,6
213,3
214,3
215,3
216,5
217,3
218,9
219,13
220,3
221,3
222,3
223,3
224,6
225,5
226,3
227,6
228,3
229,3
230,3
231,7
232,3
233,3
234,3
235,12
236,3
237,5
238,3
239,3
240,3
241,6
242,6
243,3
244,3
245,4
246,7
247,3
248,3
249,3
250,3
251,5
252,4
253,3
254,169
255,4
256,3
257,4
258,3
259,3
260,3
261,3
262,4
263,3
264,3
265,4
266,5
267,3
268,4
269,3
270,3
271,3
272,3
273,3
274,4
275,4
276,4
277,3
278,3
279,4
280,3
281,4
282,4
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,6
291,258
292,3
293,3
294,3
295,6
296,5
297,6
298,5
299,3
300,3
301,3
302,3
303,3
304,3
305,4
306,3
307,3
308,8
309,7
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,21
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,5
350,95
351,3
352,3
353,3
354,9
355,3
356,4
357,3
358,3
359,3
360,3
361,3
362,3
363,3
364,3
365,3
366,6
367,19
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,3
376,8
377,31
378,4
379,3
380,4
381,1036
382,3
383,5
384,3
385,7
386,5
387,4
388,6
389,3
390,10
391,3
392,6
393,31
394,4
395,6
396,3
397,3
398,3
399,3
400,201
401,35
402,4
403,5
404,4
405,7
406,3
407,3
408,20
409,11
410,4
411,117
412,104
413,3
414,4
415,3
416,9
417,20
418,8
419,3
420,3
421,4
422,5
423,5
424,30
425,3
426,15
427,9
428,3
429,9
430,3
431,4
432,3
433,3
434,3
435,8
436,7
437,3
438,4
439,3
440,20
441,5
442,30
443,4
444,7
445,5
446,3
447,3
448,3
449,3
450,5
451,3
452,4
453,7
454,3
455,5
456,3
457,3
458,4
459,3
460,4
461,3
462,3
463,4
464,3
465,5
466,3
467,3
468,5
469,4
470,3
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,4
479,3
480,3
481,3
482,3
483,3
484,3
485,3
486,3
487,5
488,3
489,7
490,5
491,3
492,3
493,3
494,3
495,4
496,5
497,5
498,5
499,3
500,3
501,3
502,3
503,3
504,4
505,4
506,3
507,4
508,3
509,3
510,3
511,3
512,5
513,3
514,4
515,4
516,3
517,3
518,3
519,3
520,3
521,3
522,4
523,3
524,3
525,4
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,3
534,3
535,7
536,4
537,3
538,4
539,4
540,6
541,4
542,4
543,88
544,3
545,35
546,3
547,3
548,3
549,3
550,156
551,4
552,5
553,3
554,4
555,6
556,8
557,11
558,11
559,3
560,4
561,4
562,7
563,13
564,10
565,3
566,6
567,7
568,6
569,3
570,5
571,4
572,5
573,3
574,3
575,3
576,17
577,480
578,3
579,19
580,4
581,4
582,4
583,3
584,3
585,5
586,13
587,103
588,3
589,5
590,7
591,8
592,9
593,3
594,3
595,4
596,4
597,3
598,3
599,4
600,4
601,3
602,3
603,3
604,3
605,11
606,3
607,4
608,3
609,3
610,3
611,7
612,3
613,58
614,3
615,5
616,3
617,3
618,3
619,4
620,4
621,3
622,4
623,4
624,4
625,3
626,3
627,28
628,3
629,3
630,5
631,3
